[2024-05-15 10:44:38] | URL : http://127.0.0.1:9000/public//vendors/jquery-toast-plugin/dist/jquery.toast.min.js | 404 | Duration : 0.51ms 
[2024-05-15 10:44:39] | URL : http://127.0.0.1:9000/public//vendors/bootstrap/dist/js/bootstrap.bundle.min.js | 404 | Duration : 0.66ms 
[2024-05-15 10:44:40] | URL : http://127.0.0.1:9000/public//dist/img/businessman.png | 404 | Duration : 0.25ms 
[2024-05-15 10:44:41] | URL : http://127.0.0.1:9000/public//vendors/@amcharts/amcharts4/core.js | 404 | Duration : 0.23ms 
[2024-05-15 10:44:42] | URL : http://127.0.0.1:9000/public//vendors/@amcharts/amcharts4/maps.js | 404 | Duration : 0.23ms 
[2024-05-15 10:44:43] | URL : http://127.0.0.1:9000/public//vendors/@amcharts/amcharts4-geodata/worldLow.js | 404 | Duration : 0.23ms 
[2024-05-15 10:44:43] | URL : http://127.0.0.1:9000/public//vendors/@amcharts/amcharts4-geodata/worldHigh.js | 404 | Duration : 0.23ms 
[2024-05-15 10:44:44] | URL : http://127.0.0.1:9000/public//vendors/daterangepicker/daterangepicker.css | 404 | Duration : 0.35ms 
[2024-05-15 10:44:45] | URL : http://127.0.0.1:9000/public//vendors/datatables.net-bs5/css/dataTables.bootstrap5.min.css | 404 | Duration : 0.26ms 
[2024-05-15 10:44:46] | URL : http://127.0.0.1:9000/public//vendors/datatables.net-responsive-bs5/css/responsive.bootstrap5.min.css | 404 | Duration : 0.29ms 
[2024-05-15 10:44:47] | URL : http://127.0.0.1:9000/public//dist/css/style.css | 404 | Duration : 0.21ms 
[2024-05-15 10:44:47] | URL : http://127.0.0.1:9000/public//vendors/sweetalert2/dist/sweetalert2.min.css | 404 | Duration : 0.22ms 
[2024-05-15 10:44:48] | URL : http://127.0.0.1:9000/public//vendors/select2/dist/css/select2.min.css | 404 | Duration : 0.20ms 
[2024-05-15 10:44:49] | URL : http://127.0.0.1:9000/public//vendors/leaflet/leaflet.css | 404 | Duration : 0.25ms 
[2024-05-15 10:44:50] | URL : http://127.0.0.1:9000/public//tooltip-dw.css | 404 | Duration : 0.23ms 
[2024-05-15 10:44:50] | URL : http://127.0.0.1:9000/public//loading.css | 404 | Duration : 0.25ms 
[2024-05-15 10:44:51] | URL : http://127.0.0.1:9000/public//custom.css | 404 | Duration : 0.24ms 
[2024-05-15 10:44:52] | URL : http://127.0.0.1:9000/public//clock.css | 404 | Duration : 0.27ms 
[2024-05-15 10:44:53] | URL : http://127.0.0.1:9000/public//vendors/izitoast/css/iziToast.min.css | 404 | Duration : 0.42ms 
[2024-05-15 10:44:54] | URL : http://127.0.0.1:9000/public//vendors/@amcharts/amcharts4/themes/animated.js | 404 | Duration : 0.38ms 
[2024-05-15 10:44:55] | URL : http://127.0.0.1:9000/public//vendors/apexcharts/dist/apexcharts.min.js | 404 | Duration : 0.33ms 
[2024-05-15 10:44:56] | URL : http://127.0.0.1:9000/public//dist/js/feather.min.js | 404 | Duration : 0.25ms 
[2024-05-15 10:44:56] | URL : http://127.0.0.1:9000/public//dist/js/dropdown-bootstrap-extended.js | 404 | Duration : 0.23ms 
[2024-05-15 10:44:57] | URL : http://127.0.0.1:9000/public//vendors/simplebar/dist/simplebar.min.js | 404 | Duration : 0.22ms 
[2024-05-15 10:44:58] | URL : http://127.0.0.1:9000/public//vendors/datatables.net/js/jquery.dataTables.min.js | 404 | Duration : 0.20ms 
[2024-05-15 10:44:58] | URL : http://127.0.0.1:9000/public//vendors/datatables.net-bs5/js/dataTables.bootstrap5.min.js | 404 | Duration : 0.26ms 
[2024-05-15 10:44:59] | URL : http://127.0.0.1:9000/public//vendors/datatables.net-buttons/js/dataTables.buttons.min.js | 404 | Duration : 0.20ms 
[2024-05-15 10:45:00] | URL : http://127.0.0.1:9000/public//vendors/datatables.net-select/js/dataTables.select.min.js | 404 | Duration : 0.19ms 
[2024-05-15 10:45:00] | URL : http://127.0.0.1:9000/public//vendors/datatables.net-responsive/js/dataTables.responsive.min.js | 404 | Duration : 0.21ms 
[2024-05-15 10:45:01] | URL : http://127.0.0.1:9000/public//vendors/moment/min/moment.min.js | 404 | Duration : 0.31ms 
[2024-05-15 10:45:03] | URL : http://127.0.0.1:9000/public//vendors/daterangepicker/daterangepicker.js | 404 | Duration : 0.81ms 
[2024-05-15 10:45:03] | URL : http://127.0.0.1:9000/public//dist/js/daterangepicker-data.js | 404 | Duration : 0.22ms 
[2024-05-15 10:45:05] | URL : http://127.0.0.1:9000/dashboard | 200 | Duration : 1.23ms 
[2024-05-15 10:45:07] | URL : http://127.0.0.1:9000/public//vendors/sweetalert2/dist/sweetalert2.min.js | 404 | Duration : 0.27ms 
[2024-05-15 10:45:07] | URL : http://127.0.0.1:9000/public//vendors/leaflet/leaflet.js | 404 | Duration : 0.33ms 
[2024-05-15 10:45:09] | URL : http://127.0.0.1:9000/public//vendors/izitoast/js/iziToast.min.js | 404 | Duration : 0.51ms 
[2024-05-15 10:45:10] | URL : http://127.0.0.1:9000/public//vendors/fullcalendar/main.min.js | 404 | Duration : 0.27ms 
[2024-05-15 10:45:10] | URL : http://127.0.0.1:9000/public//dist/js/init.js | 404 | Duration : 0.21ms 
[2024-05-15 10:45:11] | URL : http://127.0.0.1:9000/public//custom.js | 404 | Duration : 0.25ms 
[2024-05-15 10:45:11] | URL : http://127.0.0.1:9000/public//clock.js | 404 | Duration : 0.27ms 
[2024-05-15 10:45:12] | URL : http://127.0.0.1:9000/public//component.js | 404 | Duration : 0.29ms 
[2024-05-15 10:45:12] | URL : http://127.0.0.1:9000/public//vendors/select2/dist/js/select2.min.js | 404 | Duration : 0.21ms 
[2024-05-15 10:45:13] | URL : http://127.0.0.1:9000/public//dist/img/location.png | 404 | Duration : 0.26ms 
