[2024-05-14 15:03:19] | URL : http://localhost:81/hr-attedance/api/presensi/lists | 200 | Duration : 0.23ms 
[2024-05-14 15:03:19] | URL : http://localhost:81/hr-attedance/api/presensi/lists | 200 | Duration : 0.43ms 
[2024-05-14 15:03:20] | URL : http://localhost:81/hr-attedance/api/presensi/lists-opd | 200 | Duration : 0.16ms 
[2024-05-14 15:03:20] | URL : http://localhost:81/hr-attedance/api/presensi/lists-opd | 200 | Duration : 0.34ms 
[2024-05-14 15:03:21] | URL : http://localhost:81/hr-attedance/api/absen/001000 | 200 | Duration : 0.03ms 
[2024-05-14 15:03:21] | URL : http://localhost:81/hr-attedance/api/absen/001000 | 200 | Duration : 0.38ms 
[2024-05-14 15:03:21] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 404 | Duration : 0.12ms 
[2024-05-14 15:03:21] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 404 | Duration : 0.24ms 
[2024-05-14 15:03:24] | URL : http://localhost:81/hr-attedance/api/check-status-absen/001000 | 200 | Duration : 0.02ms 
[2024-05-14 15:03:24] | URL : http://localhost:81/hr-attedance/api/check-status-absen/001000 | 200 | Duration : 0.31ms 
[2024-05-14 15:03:27] | URL : http://localhost:81/hr-attedance/api/calculate-presensi | 200 | Duration : 2.46ms 
[2024-05-14 15:03:27] | URL : http://localhost:81/hr-attedance/api/calculate-presensi | 200 | Duration : 2.80ms 
[2024-05-14 15:03:29] | URL : http://localhost:81/hr-attedance/api/presensi/lokasi | 200 | Duration : 0.09ms 
[2024-05-14 15:03:29] | URL : http://localhost:81/hr-attedance/api/presensi/lokasi | 200 | Duration : 0.35ms 
[2024-05-14 15:09:35] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 404 | Duration : 0.09ms 
[2024-05-14 15:09:35] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 404 | Duration : 0.69ms 
[2024-05-14 15:22:22] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 404 | Duration : 0.06ms 
[2024-05-14 15:22:22] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 404 | Duration : 0.44ms 
[2024-05-14 15:23:21] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 200 | Duration : 0.06ms 
[2024-05-14 15:23:21] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 200 | Duration : 0.41ms 
[2024-05-14 15:23:45] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 404 | Duration : 0.08ms 
[2024-05-14 15:23:45] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 404 | Duration : 0.50ms 
[2024-05-14 15:23:54] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 200 | Duration : 0.05ms 
[2024-05-14 15:23:54] | URL : http://localhost:81/hr-attedance/api/presensi/shift | 200 | Duration : 0.38ms 
[2024-05-14 15:24:09] | URL : http://localhost:81/hr-attedance/api/presensi/lokasi | 200 | Duration : 0.04ms 
[2024-05-14 15:24:09] | URL : http://localhost:81/hr-attedance/api/presensi/lokasi | 200 | Duration : 0.33ms 
[2024-05-14 15:24:10] | URL : http://localhost:81/hr-attedance/api/presensi/lists | 200 | Duration : 0.32ms 
[2024-05-14 15:24:10] | URL : http://localhost:81/hr-attedance/api/presensi/lists | 200 | Duration : 0.69ms 
[2024-05-14 15:24:11] | URL : http://localhost:81/hr-attedance/api/presensi/lists-opd | 200 | Duration : 0.21ms 
[2024-05-14 15:24:11] | URL : http://localhost:81/hr-attedance/api/presensi/lists-opd | 200 | Duration : 0.47ms 
